#cave snowcave

#data_order L Az An
#from_to 
#walls_from


% ZZZ топсъемка тронного зала
%#equate metro16msu.105 tron16msu.5

#survey ^tron16msu
#survey_title Тронный 2016 МГУ, съемка зизагом для построения поверхности
#survey_team Ковешников П. Янина А.
#survey_date 09,10 января 2016 г. 


5 6 17.9 228 35.7 
5 - 6.4 0 90
5 - 7.3 280 44.9
5 - 24.8 280 33
5 - 17 290 10.7
5 - 4 305 -21.4
5 - 13.8 140 6.2
5 - 17 170 31.2

6 7 17 302 13.5
6 - 11 320 -6.6
6 - 17 325 9
6 - 20 325 22.3
6 - 17.9 265 74
6 - 10.8 235 26.8

7 8 19 291 0
7 - 0 0 0
7 - 7 8 -5
7 - 8 5 32
7 - 10.5 220 58.1
7 - 16 235 18.1

#start_z_survvey
#start_convex_surf

8 9 12.4 216 -12.6 
8 - 5.8 200 -66
8 - 13 180 -1.4
8 - 17 195 17.4
8 - 17 230 51
8 - 6 30 27
8 - 1.5 20 -40
8 - 0 0 0

9 10 12.44 350 -32.9 
9 - 3 165 14.5
9 - 12 165 67
9 - 0.5 0 -90
9 - 14 0 90

10 11 17.3 3 -13.7  #ztn #red
10 - 0 0 -90
10 - 14 0 90
10 - 11 10 -43

11 12 5 268 -19.6
11 - 1.5 - -90
11 - 10 - 90
11 - 5 20 4

12 13 8 218 -25
12 - 0 0 -90
12 - 11.3 - 90

13 14 16.8 203 22
13 - 0.6 0 -90
13 - 15 0 90

14 15 8.6 228 26.9 #ztn #red
14 - 1 0 -90
14 - 16.7 - 90

15 16 13.7 329 47.3
15 - 4.6 - -90
15 - 0 0 0
15 - 8.5 - 90
15 - 9.7 178 -34.5 

16 17 7.8 8 -28.5
16 - 15.6 0 90
16 - 0.5 - -90

17 18 10 35 -19
17 - 1.3 - -90
17 - 10.5 - 90

18 19 13.18 28 -2.7 #ztn #red
18 - 0.8 - -90
18 - 13 - 90

19 20 15.8 231 -6.5
19 - 4.8 - -90
19 - 8 - 90
19 - 0 0 0
19 - 7 45 24.8
19 - 6.2 48 -26

20 21 13.4 218 2.7
20 - 13.8 - 90
20 - 0.6 - -90

21 22 10.7 175 21.8
21 - 13 - 90
21 - 0.5 - -90

22 23 7.4 234 -6 #ztn #red #com ПБЛ Шувалова 
22 - 1 - -90
22 - 9.5 - +90

23 24 9.7 343 -23.5 
23 - 1.3 - -90
23 - 4.6 - 90
23 - 6.6 212 -10.4

24 25 10.8 30 -12.8
24 - 7.7 - +90
24 - 1.5 - -90

25 26 20 28 -1.5
25 - 1.2 0 -90
25 - 14 - 90
25 - 9 18 -26

26 27 20.1 334 3.2 #ztn #red
26 - 13.3 - 90
26 - 2.4 - -90
26 - 0 0 0
26 - 7 218 -33 

27 28 14.4 200 -25.4
27 - 1.8 - -90
27 - 8 - 90
27 - 6.8 7 -11.4

28 29 9.2 196 13
28 - 18 - 90
28 - 0.4 - -90

29 30 19.7 207 4.1
29 - 16.8 - 90
29 - 1.2 - -90

30 31 13.4 214 18.9  #ztn #red
30 - 13 - 90
30 - 1.4 - -90

31 32 17 42 -5.7
31 - 6.2 - 90
31 - 1 - -90
31 - 3.2 188 -10.5

32 33 15.7 12 -11.8
32 - 16.7 - 90
32 - 1.5 - -90

33 34 13 12 1.7
33 - 18.3 - 90
33 - 0.6 - -90

34 35 10.3 1 25.4 #ztn #red
34 - 0.1 - -90
34 - 15.3 - 90

35 36 20.5 252 16 
35 - 13.2 - 90
35 - 0.4 - -90
