% залы Х - Пенелопы

%Верх Олимпийского по карте 100метровке 79г (до всяких коррекций) 
%находится на расстоянии 2510м по аз. 225 от середины входного колодца	
%Официальная высотная отметка верха Олимпийского  -1230м.

; Контур зала Икс 2007г. Привязан к топонити 1981 года через низ Олимпийского водопада (возможно горизонтальное несовпадение до 5 м.)
; На контур зала Икс от 2007 года наложена топонить 2010 года. Соединены они через маркер 61х=Пк0=скала, 
; за которую привязана нижний конец троллея.

#survey Дегтярев А., Немченко Т.
#survey_title контур зала X 
#survey_date 02.12.2007

#equate ^62x ^olimp_niz
#from_to
#color[1]
#corr_A[17]
1x 2x		12.3	165	-40
2x 3x 		8.97	196	-35
3x 4x		6.25	217	-47
4x 5x		13.35	236	0
5x 6x		5.68	270	20
6x 7x		15.73	295	26
7x 8x		12.9	213	30
8x 9x		12.95	315	35
9x 10x		13.6	222	-21
10x 11x 	11.2	266	10
11x 12x 	7.45	254	-23
12x 13x 	15.15	269	-25
13x 14x 	4.3	258	-13
14x 15x 	15.4	269	-16
15x 16x  	8.75	315	5
16x 17x  	14.4	343	32
17x 18x 	13.9	6	35
18x 19x 	15.45	240	-23
19x 20x 	15.6	230	-22
20x 21x 	15.5	279	21
21x 22x 	16.3	201	4
22x 23x	 	15	176	-12
23x 24x	 	13.55	180	17
24x 25x 	13.4	97	-16
25x 26x	 	15.8	103	-19
26x 27x	 	14.25	82	-19
27x 28x	 	13.52	69	-11
28x 29x	 	14.95	76	3
29x 30x 	6.15	88	0
30x 31x 	9.6	88	-12
31x 32x 	12.9	75	-25 	#com Зал Х
32x 33x	 	12.87	113	18
33x 34x	 	13.4	128	27
34x 35x 	14.1	83	-6
35x 36x	 	12.75	60	-28
36x 37x	 	12.1	342	-34
37x 38x	 	12.85	52	-24
38x 39x	 	14.8	85	8
39x 40x	 	12.2	71	13
40x 41x	 	14.05	49	8
41x 42x 	6.3	107	47
42x 43x 	13.1	92	16
43x 44x 	15.6	58	34
44x 45x 	12.8	73	6
45x 46x 	13.3	20	8
46x 47x	 	14.6	330	-8
47x 48x	 	12.4	325	-30
48x 49x 	11.9	25	35
49x 50x 	13.2	3	17
50x 51x 	15.3	309	-13
51x 52x	 	14.5	255	-33
52x 53x 	9.6	230	-37
